alqs	a l k s 
aʔx	a ʍ 
aʕst	a s t 
alp	a l p 
aʕlaʔxʷ	a l a h u 
apq	a p k 
akstimtn	a k s t i m t n 
aʕsxn	a s ʍ n 
aʕm	a m 
axaʔ	a ʍ a 
awa	a w a 
anaʔqn	a n a k n 
akst	a k s t 
aʕkst	a k s t 
atana	a t a n a 
ataʔ	a t a 
aʔks	a k s 
aʔst	a s t 
akss	a k s s 
aks	a k s 
aɬp	a ɬ p 
aslʔupnkstɬnaqs	a s l u p n k s t ɬ n a k s 
aʕcaʔ	a tʃ a 
aʔkspípcn	a k s p i p tʃ n 
atataʔ	a t a t a 
aʔkstqíʔstn	a k s t k i s t n 
ayn	a i n 
aʕp	a p 
atlaʔ	a t l a 
awaʔs	a w a s 
aʔpnwíxʷtn	a p n w i h u t n 
atwan	a t w a n 
aɬqʷlt	a ɬ k w l t 
awsqn	a w s k n 
aywístn	a i w i s t n 
acaʔ	a tʃ a 
asqt	a s k t 
alaʔm	a l a m 
atxílxqn	a t ʍ i l ʍ k n 
ac	a tʃ 
apaʔɬxn	a p a ɬ ʍ n 
aɬxʷ	a ɬ h u 
aklaʔ	a k l a 
aɬaʔxʷ	a ɬ a h u 
apqnusaʔstn	a p k n u s a s t n 
aʕnt	a n t 
asal	a s a l 
aʕtkʷ	a t k w 
aʕplaʔ	a p l a 
aʕnaʔ	a n a 
aɬcíwʔamn	a ɬ tʃ i w a m n 
asqls	a s k l s 
aʔkswíx	a k s w i ʍ 
ank	a n k 
atmupíl	a t m u p i l 
akaʔst	a k a s t 
aqs	a k s 
aʕwstxn	a w s t ʍ n 
aha	a h a 
axaʔm	a ʍ a m 
ayaʔqn	a i a k n 
alaʔqʷ	a l a k w 
aʔkɬxʷcíʔ	a k ɬ h u tʃ i 
aɬqʷ	a ɬ k w 
axʷck	a h u tʃ k 
alqʷ	a l k w 
aʔpust	a p u s t 
aʕlqʷ	a l k w 
aklalaʔ	a k l a l a 
aʔxkínm	a ʍ k i n m 
aqstxn	a k s t ʍ n 
aʔksswsíwaʔɬkʷ	a k s s w s i w a ɬ k w 
aɬmlx	a ɬ m l ʍ 
an	a n 
alaʔ	a l a 
aplqs	a p l k s 
awl	a w l 
aʕxʷ	a h u 
aʔkɬtulmn	a k ɬ t u l m n 
aʔ	a 
aʔksqapínaʔx	a k s k a p i n a ʍ 
aɬiʔa	a ɬ i a 
aʕlqʷxn	a l k w ʍ n 
alps	a l p s 
aʕwsqn	a w s k n 
aʕlqs	a l k s 
aysa	a i s a 
aʕps	a p s 
aʔxʷ	a h u 
aʕs	a s 
aɬíʔ	a ɬ i 
apqn	a p k n 
aʕmn	a m n 
aʕqstxn	a k s t ʍ n 
aryat	a r i a t 
alapísps	a l a p i s p s 
aqaʔs	a k a s 
akat	a k a t 
a	a 
aʔkɬʔíʔtxʷaʔ	a k ɬ i t h u a 
aʔkɬ	a k ɬ 
aʕqs	a k s 
anwím	a n w i m 
alqʷaʔ	a l k w a 
aʕlxʷ	a l h u 
anaʔ	a n a 
aʔkɬʕayuʔ	a k ɬ a i u 
aʕɬcaʔ	a ɬ tʃ a 
als	a l s 
aʕsqt	a s k t 
amaʔ	a m a 
ax	a ʍ 
aʕn	a n 
aɬq	a ɬ k 
ap	a p 
alapul	a l a p u l 
aʕlaʔqʷ	a l a k w 
aʕpaʔs	a p a s 
aɬxn	a ɬ ʍ n 
aklas	a k l a s 
alxʷ	a l h u 
amn	a m n 
anwí	a n w i 
aktap	a k t a p 
aʔkɬxʷulkʷp	a k ɬ h u u l k w p 
aʕxn	a ʍ n 
aɬqʷl	a ɬ k w l 
aʔtk	a t k 
apaʔ	a p a 
aʔusaʔ	a u s a 
axn	a ʍ n 
aʔksxʷxʷaʔxʷʔankíɬaʔp	a k s h u h u a h u a n k i ɬ a p 
anwíkʷ	a n w i k w 
am	a m 
aʕlx	a l ʍ 
aws	a w s 
aʔk	a k 
aq	a k 
apaʔxn	a p a ʍ n 
aʔkín	a k i n 
aní	a n i 
aliʔs	a l i s 
aʕɬxʷ	a ɬ h u 
ayaʔ	a i a 
assqt	a s s k t 
aʔkɬʔamtíws	a k ɬ a m t i w s 
aʕws	a w s 
aʔksxʷusm	a k s h u u s m 
aɬ	a ɬ 
ayníxʷ	a i n i h u 
aɬcaʔ	a ɬ tʃ a 
apɬxn	a p ɬ ʍ n 
ay	a i 
aɬaʔq	a ɬ a k 
awstxn	a w s t ʍ n 
aɬíʔm	a ɬ i m 
aʔt	a t 
aʕɬmlx	a ɬ m l ʍ 
astqʷ	a s t k w 
arsíkʷm	a r s i k w m 
ah	a h 
ayxaxaʔ	a i ʍ a ʍ a 
aʔtmupíl	a t m u p i l 
alxqn	a l ʍ k n 
ana	a n a 
atkʷ	a t k w 
apaʔst	a p a s t 
asxn	a s ʍ n 
aʔkɬqpxʷíɬp	a k ɬ k p h u i ɬ p 
ckʷaxn	tʃ k w a ʍ n 
cahham	tʃ a h h a m 
ckʷmncut	tʃ k w m n tʃ u t 
cʔawsƛxʷ	tʃ a w s ǁ h u 
